Column1.id,Column1.bedrooms,Column1.price
c_7196747580,1,1900
c_7196754642,1,1900
c_7196884911,1,1900
c_7197062994,1,1900
c_7197568257,1,1900
c_7197977997,1,1900
c_7197980930,1,1900
c_7197987799,1,1900
c_7197998859,1,1900
c_7198039976,1,1900
c_7198119851,2,1900
c_7198534413,1,1900
c_7198545878,1,1900
c_7198667829,1,1900
c_7198842821,1,1900
c_7198852911,1,1900
c_7199165814,1,1900
c_7199301786,1,1900
c_7199304229,1,1900
c_7199746957,1,1900
c_7199816163,1,1900
c_7199819291,1,1900
c_7199821693,1,1900
c_7199823818,1,1900
c_7199956489,1,1900
c_7200196843,1,1900
c_7200228459,1,1900
c_7200328496,1,1900
c_7200538614,1,1900
c_7200577922,1,1900
c_7200600722,1,1900
c_7200680480,2,1900
c_7200760347,2,1900
c_7200771686,2,1900
c_7200883534,1,1900
c_7200979702,2,1900
c_7201261365,1,1900
c_7201271555,1,1900
c_7201518657,1,1900
c_7201624293,1,1900
c_7201642938,2,1900
c_7201727503,1,1900
c_7201729927,1,1900
c_7201732415,1,1900
c_7202317810,1,1900
c_7202407080,2,1900
c_7202634892,3,1900
c_7202679542,1,1900
c_7202686104,1,1900
c_7202807953,1,1900
c_7202811696,1,1900
c_7202844861,1,1900
c_7202882451,1,1900
c_7203245071,1,1900
c_7203450557,1,1900
c_7203459768,1,1900
c_7204453050,1,1900
c_7204477038,1,1900
c_7204549009,1,1900
c_7204559069,1,1900
c_7204565473,2,1900
c_7204633130,1,1900
c_7204982337,1,1900
c_7205037838,1,1900
c_7205061318,2,1900
c_7205177694,2,1900
c_7205438587,1,1900
c_7205440341,1,1900
c_7205584466,1,1900
c_7205615554,2,1900
c_7205779916,1,1900
c_7205854835,2,1900
c_7206157540,1,1900
c_7206227064,1,1900
c_7206241503,1,1900
c_7206271935,1,1900
c_7206273163,1,1900
c_7206301705,2,1900
c_7206310396,1,1900
c_7206348211,1,1900
c_7206373083,1,1900
c_7206395190,1,1900
c_7206616365,1,1900
c_7206617691,1,1900
c_7207096076,2,1900
c_7207183445,2,1900
c_7207234302,1,1900
c_7207351680,1,1900
c_7207511372,1,1900
c_7207712905,2,1900
c_7207940192,1,1900
c_7207954575,1,1900
c_7208073767,1,1900
c_7208077021,1,1900
c_7208273390,1,1900
c_7208275545,1,1900
c_7208491592,1,1900
c_7208586791,1,1900
c_7208602124,1,1900
c_7208689439,1,1900
c_7208708079,1,1900
c_7208749239,2,1900
c_7208869962,1,1900
c_7208935999,1,1900
c_7209343006,1,1900
c_7209507376,1,1900
c_7209569371,1,1900
c_7209662686,2,1900
c_7209922778,1,1900
c_7209950162,1,1900
c_7210035045,2,1900
c_7210186007,1,1900
c_7210272083,1,1900
c_7210327597,2,1900
c_7210726205,2,1900
c_7210851410,1,1900
c_7210958929,1,1900
c_7210963449,1,1900
c_7211113930,2,1900
c_7211249754,2,1900
c_7211511283,2,1900
c_7211591853,1,1900
c_7211648083,1,1900
c_7211648420,2,1900
c_7211727685,1,1900
c_7211853197,1,1900
c_7211980261,1,1900
c_7212245964,1,1900
c_7212344298,1,1900
c_7212356834,1,1900
c_7212487642,1,1900
c_7212613425,1,1900
c_7212647881,1,1900
c_7212696231,1,1900
c_7212840459,1,1900
c_7212978968,1,1900
c_7213122560,1,1900
c_7213187986,1,1900
c_7213263364,2,1900
c_7213270688,1,1900
c_7213341274,1,1900
c_7213360585,1,1900
c_7213392574,1,1900
c_7213447983,1,1900
c_7213574498,1,1900
c_7213712699,1,1900
c_7213789954,1,1900
c_7213801193,1,1900
c_7213807835,1,1900
c_7213811138,1,1900
c_7213819125,2,1900
c_7213825803,1,1900
c_7213830357,1,1900
c_7213869534,1,1900
c_7213890316,2,1900
c_7213945375,2,1900
c_7213963328,1,1900
c_7213964417,2,1900
c_7214031645,2,1900
c_7214036496,1,1900
c_7214150422,1,1900
c_7214185009,1,1900
c_7214185899,1,1900
c_7214185946,1,1900
c_7214187602,1,1900
c_7214190606,1,1900
c_7214307068,1,1900
c_7214391095,1,1900
c_7214450777,1,1900
c_7214642186,1,1900
c_7214676177,1,1900
c_7214694269,1,1900
c_7214752790,1,1900
c_7214780314,1,1900
c_7214832089,2,1900
c_7214903222,1,1900
c_7214916841,1,1900
c_7214994821,1,1900
c_7215133597,1,1900
c_7215138294,1,1900
c_7215688624,1,1900
c_7216413825,1,1900
c_7216476179,1,1900
c_7216532699,1,1900
c_7216831604,1,1900
c_7216899355,1,1900
c_7216996446,2,1900
c_7217287975,1,1900
c_7217415877,2,1900
c_7217545615,1,1900
c_7217698727,1,1900
c_7217710618,1,1900
c_7217837377,1,1900
c_7218036079,1,1900
c_7218145208,1,1900
c_7218201316,1,1900
c_7218410671,1,1900
c_7218710935,1,1900
c_7218742020,1,1900
c_7218743616,1,1900
c_7218744626,1,1900
c_7218850139,1,1900
c_7219289525,1,1900
c_7219628146,1,1900
c_7219647109,1,1900
c_7219752420,1,1900
c_7219814516,1,1900
c_7219888396,2,1900
c_7219943242,1,1900
c_7220456295,1,1900
c_7220529872,2,1900
c_7220572830,1,1900
c_7220752706,1,1900
c_7221111483,1,1900
c_7221120654,1,1900
c_7221135794,1,1900
c_7221153651,2,1900
c_7221176072,3,1900
c_7221239420,1,1900
c_7221254128,1,1900
c_7221649834,1,1900
c_7221752089,2,1900
c_7221886995,1,1900
c_7221911183,1,1900
c_7222219325,1,1900
c_7222412461,1,1900
c_7222532745,1,1900
c_7222600015,1,1900
c_7222694629,1,1900
c_7222740923,2,1900
c_7222807427,1,1900
c_7222934197,1,1900
c_7222968831,1,1900
c_7223016588,1,1900
c_7223262006,1,1900
