,FSA,bedrooms,post_published_date,average_price
597,M4K,1.0,2020-09-29,1800.0
598,M4K,2.0,2020-09-29,1875.0
599,M4K,1.0,2020-09-30,1575.0
600,M4K,1.0,2020-10-01,1500.0
601,M4K,2.0,2020-10-01,2947.5
602,M4K,1.0,2020-10-03,1350.0
603,M4K,2.0,2020-10-03,2100.0
604,M4K,1.0,2020-10-04,1650.0
605,M4K,2.0,2020-10-04,1950.0
606,M4K,1.0,2020-10-07,1750.0
607,M4K,1.0,2020-10-09,1825.0
608,M4K,2.0,2020-10-11,1950.0
609,M4K,1.0,2020-10-13,1500.0
610,M4K,2.0,2020-10-13,2675.0
611,M4K,2.0,2020-10-14,2995.0
612,M4K,1.0,2020-10-15,1812.5
613,M4K,1.0,2020-10-16,1500.0
614,M4K,2.0,2020-10-16,1795.0
615,M4K,2.0,2020-10-18,1650.0
616,M4K,1.0,2020-10-19,966.0
617,M4K,1.0,2020-10-20,1780.0
618,M4K,2.0,2020-10-20,2700.0
619,M4K,1.0,2020-10-21,1357.5
620,M4K,2.0,2020-10-21,1250.0
621,M4K,1.0,2020-10-22,1695.0
622,M4K,2.0,2020-10-22,2190.0
623,M4K,1.0,2020-10-23,1750.0
624,M4K,1.0,2020-10-26,1487.5
625,M4K,1.0,2020-10-27,1225.0
626,M4K,1.0,2020-10-29,1725.0
627,M4K,1.0,2020-10-30,1750.0
628,M4K,2.0,2020-10-30,2500.0
