Column1.id,Column1.sqft,Column1.price
c_7209086502,850,2245
c_7216863800,690,2245
c_7217303469,500,2245
c_7220474582,1100,2245
k_1505787883,731,2249
k_1505889853,864,2249
c_7177757571,640,2250
c_7191283573,755,2250
c_7192174514,650,2250
c_7193569690,634,2250
c_7193629173,1100,2250
c_7193915217,700,2250
c_7194673124,660,2250
c_7195114017,590,2250
c_7195259191,900,2250
c_7196761012,740,2250
c_7197161262,900,2250
c_7197446492,595,2250
c_7197553564,800,2250
c_7198552826,450,2250
c_7198849749,700,2250
c_7198879695,800,2250
c_7200336934,568,2250
c_7200692139,591,2250
c_7201914148,690,2250
c_7203832509,850,2250
c_7203883477,615,2250
c_7204316989,690,2250
c_7204317200,690,2250
c_7204692953,800,2250
c_7205688882,595,2250
c_7205925550,1100,2250
c_7206154228,568,2250
c_7206627582,643,2250
c_7206650580,1190,2250
c_7207777742,610,2250
c_7207820317,690,2250
c_7208439011,800,2250
c_7208583064,799,2250
c_7208704515,696,2250
c_7208730416,750,2250
c_7209031083,750,2250
c_7209043282,700,2250
c_7209222624,1200,2250
c_7209628342,1100,2250
c_7209944586,682,2250
c_7210601774,650,2250
c_7211096985,900,2250
c_7214296281,850,2250
c_7214358767,760,2250
c_7214602074,799,2250
c_7214765365,570,2250
c_7215735113,799,2250
c_7216444060,600,2250
c_7216938489,1205,2250
c_7217257055,1000,2250
c_7217296069,450,2250
c_7217403161,690,2250
c_7218360983,750,2250
c_7218498525,813,2250
c_7218500490,673,2250
c_7218501864,690,2250
c_7218949972,699,2250
c_7219522330,800,2250
c_7219561006,650,2250
c_7220068749,900,2250
c_7220260234,800,2250
c_7220439810,900,2250
c_7220766141,674,2250
c_7221502296,690,2250
c_7221671984,1200,2250
c_7221770675,750,2250
c_7222549534,755,2250
c_7222845823,799,2250
c_7222847897,799,2250
c_7223022983,706,2250
c_7223060323,800,2250
c_7223479954,825,2250
c_7223531882,1200,2250
c_7223742135,820,2250
c_7223775266,1200,2250
c_7223902178,702,2250
c_7224771328,601,2250
k_1509938164,625,2250
k_1516285485,875,2250
k_1517763500,700,2250
k_1517775722,750,2250
k_1517807613,1100,2250
k_1517826216,630,2250
k_1517830651,950,2250
k_1517886133,1000,2250
k_1513433914,606,2274
c_7199313049,671,2275
c_7204794350,750,2275
